
|ID|SPECIES|LEK|SEX|AGE|STATE|WEIGHT|HABITAT|DPS|DATE|YEAR|
|---|---|---|---|---|---|---|---|---|---|---|
|F11|Tympanuchus pallidicinctus|Beasley5B|Male|Adult|Texas||SSOPR|Southern|4/1/19|2019|
|F121|Tympanuchus pallidicinctus|B1|Male|Adult|Texas|775|SSOPR|Southern|2/25/08|2008|
|F123|Tympanuchus pallidicinctus|B1|Male|Juvenile|Texas|745|SSOPR|Southern|3/1/08|2008|
|F1259|Tympanuchus cupido||||Nebraska||EOR|Allopatric|12/1/22|2022|
|F125|Tympanuchus pallidicinctus|B2|Male|Adult|Texas|795|SSOPR|Southern|3/4/08|2008|
|F1260|Tympanuchus cupido||||Nebraska||EOR|Allopatric|9/1/22|2022|
|F1261|Tympanuchus cupido||||Nebraska||EOR|Allopatric|9/1/22|2022|
|F1263|Tympanuchus cupido||||Kansas||EOR|Allopatric|1/24/23|2023|
|F1268|Tympanuchus cupido||||Kansas||EOR|Allopatric|10/1/22|2022|
|F1269|Tympanuchus cupido|Fleming 2|Female|Adult|Kansas|820|SHGPR|Sympatric|4/5/14|2014|
|F1270|Tympanuchus cupido|Prairie Dog|Male|Adult|Kansas|830|SHGPR|Sympatric|3/26/13|2013|
|F1271|Tympanuchus cupido|Prairie Dog|Female|Adult|Kansas|840|SHGPR|Sympatric|4/12/13|2013|
|F1272|Tympanuchus cupido|NE Beough|Male|Adult|Kansas|1042|SHGPR|Sympatric|3/17/13|2013|
|F1273|Tympanuchus cupido|Fleming 2|Male|Adult|Kansas|1050|SHGPR|Sympatric|3/30/13|2013|
|F1274|Tympanuchus cupido|NE BEOUGHER|Male|Adult|Kansas|1098|SHGPR|Sympatric|3/17/13|2013|
|F1275|Tympanuchus cupido|Sharp|Female|Adult|Kansas|820|SHGPR|Sympatric|4/4/13|2013|
|F1276|Tympanuchus cupido|Sharp|Male|Adult|Kansas|960|SHGPR|Sympatric|4/3/13|2013|
|F1277|Tympanuchus cupido|Parson|Female|Adult|Kansas|815|SHGPR|Sympatric|4/8/13|2013|
|F1278|Tympanuchus cupido|Sharp|Female|Adult|Kansas|855|SHGPR|Sympatric|4/4/13|2013|
|F1279|Tympanuchus cupido|Sharp|Female|Adult|Kansas|770|SHGPR|Sympatric|4/21/13|2013|
|F1280|Tympanuchus cupido|Mcdaniel 1|Female|Adult|Kansas||SHGPR|Sympatric|4/2/13|2013|
|F1281|Tympanuchus cupido||||South Dakota||EOR|Allopatric|9/20/21|2021|
|F1282|Tympanuchus cupido||||South Dakota||EOR|Allopatric|9/20/21|2021|
|F1283|Tympanuchus cupido||||South Dakota||EOR|Allopatric|9/20/21|2021|
|F1293|Tympanuchus cupido||||Kansas||EOR|Allopatric|4/8/19|2019|
|F130|Tympanuchus pallidicinctus|B2|Male|Adult|Texas|735|SSOPR|Southern|3/7/08|2008|
|F132|Tympanuchus pallidicinctus|B1|Male|Juvenile|Texas|845|SSOPR|Southern|3/7/08|2008|
|F135|Tympanuchus pallidicinctus|B2|Male|Juvenile|Texas|870|SSOPR|Southern|3/11/08|2008|
|F137|Tympanuchus pallidicinctus|B2|Male|Juvenile|Texas|775|SSOPR|Southern|3/12/08|2008|
|F138|Tympanuchus pallidicinctus|B2|Male|Juvenile|Texas|775|SSOPR|Southern|3/5/08|2008|
|F139|Tympanuchus pallidicinctus|B2|Male|Juvenile|Texas|800|SSOPR|Southern|3/13/08|2008|
|F140|Tympanuchus pallidicinctus|R2|Male|Adult|Texas|780|SSOPR|Southern|3/14/08|2008|
|F142|Tympanuchus pallidicinctus|R2|Male|Juvenile|Texas|785|SSOPR|Southern|3/14/08|2008|
|F143|Tympanuchus pallidicinctus|R2|Male|Adult|Texas|870|SSOPR|Southern|3/15/08|2008|
|F144|Tympanuchus pallidicinctus|R2|Male|Adult|Texas|840|SSOPR|Southern|3/17/08|2008|
|F146|Tympanuchus pallidicinctus|R4|Female|Juvenile|Texas|715|SSOPR|Southern|3/19/08|2008|
|F148|Tympanuchus pallidicinctus|R4|Male|Juvenile|Texas|815|SSOPR|Southern|3/19/08|2008|
|F151|Tympanuchus pallidicinctus|R5|Male|Adult|Texas|775|SSOPR|Southern|3/22/08|2008|
|F152|Tympanuchus pallidicinctus|R3|Female|Juvenile|Texas|635|SSOPR|Southern|3/22/08|2008|
|F153|Tympanuchus pallidicinctus|R4|Male|Adult|Texas|825|SSOPR|Southern|3/22/08|2008|
|F155|Tympanuchus pallidicinctus|R4|Male|Juvenile|Texas|845|SSOPR|Southern|3/22/08|2008|
|F157|Tympanuchus pallidicinctus|R3|Female|Juvenile|Texas|695|SSOPR|Southern|3/22/08|2008|
|F158|Tympanuchus pallidicinctus|R4|Male|Adult|Texas|885|SSOPR|Southern|3/23/08|2008|
|F159|Tympanuchus pallidicinctus|B2|Male||Texas|860|SSOPR|Southern|3/7/08|2008|
